osm_id,name,lat,lon
7138660381,Williamnagar Civil Hospital,25.5146304,90.6046435
7138660404,Reid Provincial Chest Hospital,25.5762376,91.8666306
7150731689,Bikali Model Hospital,25.9629778,91.0542472
7150731697,Joypur Government Hospital,24.8821819,93.0637604
7150731701,"F.R.U, Kalain",24.9684172,92.5730099
7150731714,Sonapur District Hospital,26.1212135,91.9761266
7150731745,Kachuadam MG Model Hospital,24.822849,92.432166
7150731748,Girishganj Model Hospital,24.883091,92.3098
7150731759,Azara 30 Bedded Rural Hospital(F.R.U),26.124633,91.617525
7150731762,Patherkandi MG Model Hospital,24.584103,92.3411897
7150731765,"Civil Hospital, Hatsingimari",25.721206,89.9047078
7150731769,Kheroni Model Hospital,25.849921,92.8781343
7150731781,Pandu FRU Hospital,26.1606497,91.6887221
7150731784,Jirighat Hospital,24.8099512,93.105894
7150731794,Salchapra Hospital,24.824249,92.6621686
7150731799,Bamunigaon Model Hospital,26.0112846,91.2996591
7150731815,Vernerpur T.E. Hospital,24.5163595,92.6140897
7150731818,Jhowdanga hospital,25.584891,89.88231
7150731834,Govt. Ayurvedic College & Hospital,26.1495333,91.6674002
7150731838,Dudhnoi (F.R.U),25.9829392,90.7895475
7150731843,KATIGORAH MODEL HOSPITAL,24.8766476,92.5730321
7150731850,Guimara Hospital,26.115257,91.46451
7150731854,"CHC, Howraghat",26.1146348,93.0355876
7150731869,"Civil Hospital, Hailakandi",24.6718333,92.5632382
7150731870,Kampur Hospital,26.1671521,92.6537353
7150731877,Dhevdevi hospital,26.0796899,89.8715609
7150731892,Ambari Bazar Model Hospital,26.1020669,90.3944379
7150731894,"Srigouri, CHC",24.8616184,92.5204243
7150731897,Thaligram Hospital,24.944708,92.928747
7150731901,Mahatma Gandhi Model Hospital,24.4147648,92.5733758
7150745406,St. Lukes Hospital,27.4765764,95.1650112
7150745407,Deepling Tea Estate Hospital,27.108545,95.03788
7150745410,Bokel Tea Estate Hospital,27.45783,94.9771994
7150745414,Manjushree Hospital,26.9712074,95.0899633
7150745420,Dhakuakhana F.R.U,27.1958851,94.4223158
7150745422,Romai Tea Estate,27.386318,95.0457564
7150745424,Khumtai Tea Estate Hospital,27.1763415,94.9448362
7150745428,Greenwood Tea Estate Hospital,27.509819,95.017022
7150745436,Assam Medical College and Hospital,27.487594,94.940004
7150745444,Laluk Model Hospital,27.1239777,93.9295187
7150745446,Ramdhan Dikhari Hospital,27.7246434,95.0564931
7150745450,Bengenagarah Hospital,27.350498,94.543537
7150745451,Chapakhowa F.R.U,27.9255347,95.7629805
7150745454,Maijan Tea Estate Hospital,27.5094432,94.9757439
7150745466,Dhemaji Civil Hospital,27.4580357,94.5743654
7150745467,Mohokutie Tea Estate Hospital,27.0903275,94.8081909
7150745468,"Government Hospital, Dighaljuli Gaon",26.8602879,92.5577894
7150745469,Phillobari Model Hospital,27.550876,95.6926
7150745471,Sibsagar Civil Hospital,26.986092,94.633868
7150745473,Nonaipara Hospital,26.845787,91.871661
7150745476,Jaboka Tea Estate Hospital,27.018378,95.043379
7150745477,Dolouhat Tea Garden Hospital,27.183871,93.964693
7150745480,Towkok Hospital,26.9943545,95.0709836
7150745481,Moranhat Government Hospital,27.181087,94.911762
7150745483,Longpatia Hospital,27.0797791,95.0968389
7150745488,Sonari Civil Hospital,27.032335,95.058492
7150745490,Deezo Tea Garden Hospital,27.2727496,94.0174109
7150745492,Dikom Tea estate hospital,27.4603111,95.0850978
7150745498,Panigaon Hospital,27.1401547,94.1092315
7150745499,Borgang Model Hospital,26.8361293,93.2919997
7150745503,"CHC, Demow",27.127612,94.739596
7150745507,Patsaku Hospital,27.0258483,94.8284735
7150745509,Kalabari Model Hospital,26.8809204,93.7538581
7150745512,Nigam hospital,27.2236641,95.3130304
7150745517,Hazelbank Tea Estate Hospital,27.4922491,95.0868214
7150745518,Narayanpur Model Hospital,26.9666701,93.8661852
7150745527,"Civil Hospital, North Lakhimpur",27.2613471,94.1003308
7150745530,Hingrijan Tea Estate Hospital,27.148293,94.936707
7150745532,Jonai Civil Hospital,27.837655,95.211262
7153254922,"CHC, Borholla",26.449904,94.1326737
7153254932,Dakshingaon Hospital,26.4107888,91.5113527
7153254935,Kachomari Hospital,26.1961824,93.9295837
7153254940,Kaoimari Nurul Hussain F.R.U,26.4671094,92.8179123
7153254945,Mowamari Model Hospital,26.4657206,92.8538766
7153254952,Manikpur Model Hospital,26.4709474,90.8027602
7153254953,Dhaoliguri Hospital,26.4405658,90.2237457
7153254955,Bhurbandha Model Hospital,26.3070013,92.3635211
7153254971,Boitamari Model Hospital,26.3435674,90.5154491
7153254973,"RNB Civil Hospital, Kokrajhar",26.4017828,90.2742484
7153254987,Duni Model Hospital,26.4604684,91.8283762
7153254992,Urangial Hospital,26.4256728,94.1294188
7153254994,"Maternity & Child Health Hospital, Mohkhuli",26.3666002,92.714374
7153254998,Ga-Khajua Hospital,26.3642822,92.5542803
7153255009,"Mahatma Gandhi Model Hospital , Makhibaha",26.4457506,91.2595742
7153255036,Chandamama Model Hospital,26.282504,90.778365
7153255053,Kirtanpara Hospital,26.374117,90.764245
7153255060,Dagaon Hospital,26.441283,92.613613
7153255087,"Civil Hospital, Bongaigaon",26.4312897,90.5770438
7153255091,Bagribari Model Hospital,26.1982891,90.1416556
7153255108,Morigaon Civil Hospital,26.252273,92.3548836
7153255124,Rupohi Model Hospital,26.4156418,92.7428996
7153255125,B.P. Civil Hospital,26.344804,92.689441
7153255153,"Mahatma Gandhi Model Hospital, Belsor",26.383854,91.349695
7153255155,Kondoli Model Hospital,26.226166,92.7730114
7153255156,S.M.K. Civil Hospital,26.4477049,91.4364392
7153386668,Salbari Model Hospital,26.6337966,91.0964259
7153386670,Orang Tea Estate Hospital,26.7253552,92.3190642
7153386671,Kanaklata Civil Hospital,26.628821,92.796941
7153386677,Jalukanibari Hospital,26.6456268,94.1876136
7153386683,Hattigor T.E. NHRM Hospital,26.7787135,91.9323039
7153386687,Amgoori Tea Estate Hospital,26.759156,94.566161
7153386690,"Bhooteachang Hospital, Bhooteachang",26.7952297,91.891026
7153386692,Panisheli Hospital,26.662206,91.767289
7153386696,Sirajuli Model Hospital,26.699467,92.400363
7153386699,Majuli Hospital,26.803012,91.945076
7153386700,"Civil Hospital, Milanpur",26.6883632,92.7403561
7153386704,Bamunjuli Tea Estate Hospital,26.8156567,91.8313484
7153386707,Charingia CHC,26.6003726,93.9488146
7153386710,Suola Tea Estate Hospital,26.718317,91.75147
7153386714,Rowta Model Hospital,26.716299,92.193553
7153386751,Shyampur hospital,26.498934,92.216719
7153386758,Udalguri Civil Hospital,26.719912,92.078817
7153386761,JSB CIVIL HOSPITAL,26.5254284,90.4903363
7153386764,Balichang Model Hospital,26.830727,93.073837
7153386768,"Sub-Divisional Hospital, Biswanath Charali",26.72667,93.147765
7153386773,Charna bazar hospital,26.6362219,91.1744098
7153386775,Paneri Tea Estate Hospital,26.7449311,91.8913927
7153386777,Dimakuchi Tea Estate Hospital,26.743026,91.843191
7153386779,155 Base Hospital,26.6555774,92.7876709
7153386789,Pakribari Hospital,26.7827777,92.0497212
7153386806,"FRU, Teok",26.835227,94.4086004
7153386811,Bandarmari Hospital,26.7270612,92.6484096
7153386814,Atterikhat Tea Estate Hospital,26.7267163,91.7513379
7153386817,Nagsankar Hospital,26.734572,92.991403
7153386830,Barpeta Road F.R.U,26.4908364,90.9685928
7153386833,Kwuari Hospital,26.768397,93.1439
7153386835,Dekargaon Hospital,26.680182,92.765946
7153386838,Borsillah Tea Estate Hospital,26.783763,94.6148137
7153386839,Dr. Ravi Boro Civil Hospital,26.664079,91.340726
7153386859,Nikashi Civil Hospital,26.728677,91.378296
7153386863,Bhergaon Model Hospital,26.638823,91.824156
7153386865,Kusumtala Model Hospital,26.7363291,92.9650646
7153386866,Tihu F.R.U,26.4766416,91.2715269
7153386869,Mazrowmari Hospital,26.7311844,92.3662962
7153386873,Borengajuli Tea Estate Hospital,26.7397494,91.8072736
7153386874,Swahid Kamala Miri Civil Hospital Bokakhat,26.641792,93.598697
7153386876,New Bongaigaon Railway Hospital,26.4815876,90.5150881
7153386888,Lorimukh Hospital,26.494423,92.809737
7153386890,Dusutimukh hospital,26.6970438,93.820751
7153386892,Behali Hospital,26.801021,93.348082
7153386902,Pathsala Sub-Divisional Civil Hospital,26.5078672,91.1672137
7153386905,Subhaijhar Model Hospital,26.596512,90.6077992
7210907225,Melaghar hospital,23.4931778,91.3323109
7388623578,Sharifpur Health Center,24.344284,91.9774391
7466289937,Unknown,23.8191641,91.2337122
7485259761,PHSC & HWC Suangdoh,24.0866545,93.4819185
7532350905,Ganeshbari Tea Hospital,27.4861949,95.0527014
7532350908,Medicare Hospitals,27.4899224,94.9234647
7532350915,Astha Hospital,27.4891852,94.9163573
7532350917,Archana Trauma & Orthopaedics Hospital & Research Centre,27.490729,94.929957
7532350920,Nahortoli Tea Garden Hospital,27.4699353,95.0821294
7532350927,Sewpur T.E. Hospital,27.463452,95.362283
7532350928,R.C. Agarwal Memorial Hospital,27.485901,95.379983
7532350931,M.F. Hospital & Research Centre,27.4795977,94.9001477
7532350938,G.M. Hospital,27.491458,94.9329053
7532350947,APL Hospital,27.1843094,95.3663889
7532350974,Apollo Hospitals,27.4936184,95.3488317
7532350988,Sonari Town Hospital,27.0261774,95.0183865
7532350990,Nudwa Hospital,27.48202,95.101352
7532351000,BCB Care Hospital,27.4701787,94.5580656
7532351004,Mili Hospital & Recharch Centre,27.4723298,94.5580985
7532351007,Erc Eye Care Hub Hospital,26.993236,94.642705
7532351016,Archana Hospital,27.4891115,94.9298835
